competition,sport,competition_group,region,tier,home_team,away_team,kickoff_uk,venue,home_score,away_score,official_source
SWPL 1,Football,SWPL 1,Scotland,,Hearts,Rangers,2026-08-30 16:10,The Vanloq Community Stadium,0,3,https://swpl.uk/match-centre/swpl/
NWSL,Football,NWSL,USA,,Washington Spirit,Bay FC,2026-08-30 17:30,-,1,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Seattle Reign,Houston Dash,2026-08-31 00:00,-,1,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Boston Legacy,Angel City,2026-09-01 01:00,-,2,5,https://en.wikipedia.org/wiki/2026_NWSL_season
UEFA Women's Champions League,Football,UWCL,Europe,,Austria Wien,Brann,2026-09-01 17:00,-,4,0,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
The FA WNL Cup,Football,FAWNL Cup,England,,Ascot United,Queens Park Rangers,2026-09-01 19:45,Ascot United FC,0,4,https://wnl.thefa.com/fixtures
UEFA Women's Champions League,Football,UWCL,Europe,,Paris Saint-Germain,Eintracht Frankfurt,2026-09-02 17:30,-,5,1,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
UEFA Women's Champions League,Football,UWCL,Europe,,Inter Milan,VfL Wolfsburg,2026-09-02 17:30,-,3,1,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
UEFA Women's Champions League,Football,UWCL,Europe,,Servette Chênois,Sparta Prague,2026-09-02 17:45,-,3,0,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
UEFA Women's Champions League,Football,UWCL,Europe,,Real Sociedad,Chelsea,2026-09-02 18:00,-,0,1,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
UEFA Women's Champions League,Football,UWCL,Europe,,HB Køge,PSV Eindhoven,2026-09-02 18:00,-,1,1,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
UEFA Women's Champions League,Football,UWCL,Europe,,OH Leuven,Czarni Sosnowiec,2026-09-02 19:00,-,2,1,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
UEFA Women's Champions League,Football,UWCL,Europe,,Real Madrid,Ajax,2026-09-02 19:00,-,2,1,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
UEFA Women's Champions League,Football,UWCL,Europe,,Juventus,St. Pölten,2026-09-02 19:30,-,1,1,https://en.wikipedia.org/wiki/2026-27_UEFA_Women%27s_Champions_League_qualifying_rounds
Barclays WSL,Football,WSL,England,Tier 1,London City Lionesses,Manchester United,2026-09-04 19:00,-,2,1,https://en.wikipedia.org/wiki/2026%E2%80%9327_Women%27s_Super_League
Barclays WSL2,Football,WSL2,England,Tier 2,Watford,Burnley,2026-09-04 19:30,-,0,0,https://en.wikipedia.org/wiki/2026%E2%80%9327_Women%27s_Super_League_2
SWPL 1,Football,SWPL 1,Scotland,,Hibernian,Glasgow City,2026-09-04 19:35,Meadowbank Stadium,2,2,https://swpl.uk/match-centre/swpl/
NWSL,Football,NWSL,USA,,Utah Royals,Boston Legacy,2026-09-05 02:30,-,1,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Bay FC,Kansas City Current,2026-09-05 03:00,-,1,2,https://en.wikipedia.org/wiki/2026_NWSL_season
England Women U20 - FIFA U20 Women's World Cup,Football,England Women U20,England,,Canada,England,2026-09-05 17:00,Stadion Miejski,1,1,https://www.englandfootball.com/england/youth/Womens-U20
NWSL,Football,NWSL,USA,,Racing Louisville,Angel City,2026-09-05 23:30,-,0,2,https://en.wikipedia.org/wiki/2026_NWSL_season
Barclays WSL2,Football,WSL2,England,Tier 2,Durham,Southampton,2026-09-06 12:00,-,1,3,https://en.wikipedia.org/wiki/2026%E2%80%9327_Women%27s_Super_League_2
Barclays WSL,Football,WSL,England,Tier 1,Tottenham Hotspur,West Ham United,2026-09-06 12:00,-,3,1,https://en.wikipedia.org/wiki/2026%E2%80%9327_Women%27s_Super_League
SWPL 1,Football,SWPL 1,Scotland,,Montrose,Hearts,2026-09-06 13:00,Links Park,0,7,https://swpl.uk/match-centre/swpl/
SWPL 1,Football,SWPL 1,Scotland,,Partick Thistle,Celtic,2026-09-06 13:00,Petershill Park,2,3,https://swpl.uk/match-centre/swpl/
SWPL 1,Football,SWPL 1,Scotland,,Spartans,Aberdeen,2026-09-06 13:00,The Vanloq Community Stadium,3,1,https://swpl.uk/match-centre/swpl/
The FA WNL Cup,Football,FAWNL Cup,England,,Luton Town,Norwich City,2026-09-06 14:00,Barton Rovers FC,1,2,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Saltdean United,Portsmouth,2026-09-06 14:00,Hill Park Stadium,1,3,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Queens Park Rangers,Fulham,2026-09-06 14:00,The SkyEx Community Stadium,2,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Billericay Town,London City Lionesses U21,2026-09-06 14:00,Billericay Town FC,1,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Lewes,Brighton & Hove Albion U21,2026-09-06 14:00,The Dripping Pan,4,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,AFC Bournemouth,Bournemouth Sports,2026-09-06 14:00,Bob Lucas Stadium,11,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Cheltenham Town,Worcester City Women,2026-09-06 14:00,Bishops Cleeve FC,4,3,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Wycombe Wanderers,Maidenhead United,2026-09-06 14:00,The 1878 Stadium,1,4,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Swindon Town,Chelsea U21,2026-09-06 14:00,Swindon Supermarine Football Club,1,2,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Gwalia United,Kidderminster Harriers,2026-09-06 14:00,University of South Wales Sports Park,0,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Keynsham Town,Bristol City U21,2026-09-06 14:00,The AJN Stadium,2,5,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Exeter City,Bristol Rovers,2026-09-06 14:00,Devon County FA (Coach Road),4,3,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Marine Academy Plymouth,Torquay United,2026-09-06 14:00,Erme Valley,1,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Bridgwater United,Plymouth Argyle,2026-09-06 14:00,The Ethan Berry Pavilion,2,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Moneyfields,Southampton U21,2026-09-06 14:00,The John Jenkins Stadium,1,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Dulwich Hamlet,Dartford,2026-09-06 14:00,Champion Hill Stadium,2,0,https://wnl.thefa.com/fixtures
Barclays WSL,Football,WSL,England,Tier 1,Charlton Athletic,Liverpool,2026-09-06 14:00,-,0,4,https://en.wikipedia.org/wiki/2026%E2%80%9327_Women%27s_Super_League
The FA WNL Cup,Football,FAWNL Cup,England,,Oxford United,Milton Keynes Dons,2026-09-06 14:00,The MGroup Stadium,5,0,https://wnl.thefa.com/fixtures
Barclays WSL2,Football,WSL2,England,Tier 2,Newcastle United,Wolverhampton Wanderers,2026-09-06 14:00,-,2,0,https://en.wikipedia.org/wiki/2026%E2%80%9327_Women%27s_Super_League_2
Barclays WSL2,Football,WSL2,England,Tier 2,Sheffield United,Leicester City,2026-09-06 14:00,-,0,1,https://en.wikipedia.org/wiki/2026%E2%80%9327_Women%27s_Super_League_2
Barclays WSL,Football,WSL,England,Tier 1,Crystal Palace,Everton,2026-09-06 14:00,-,1,0,https://en.wikipedia.org/wiki/2026%E2%80%9327_Women%27s_Super_League
Barclays WSL2,Football,WSL2,England,Tier 2,Sunderland,Bristol City,2026-09-06 14:00,-,4,1,https://en.wikipedia.org/wiki/2026%E2%80%9327_Women%27s_Super_League_2
The FA WNL Cup,Football,FAWNL Cup,England,,Chester Le Street Town,Durham Cestria,2026-09-06 14:00,Moor Park,2,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Middlesbrough,Sunderland U21,2026-09-06 14:00,Stockton Town FC,5,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Norton & Stockton Ancients,York City,2026-09-06 14:00,Norton Sports Complex,4,2,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Hull City,Thornaby,2026-09-06 14:00,Victoria Pleasure Ground,2,1,https://wnl.thefa.com/fixtures
Adran Premier,Football,Adran Premier,Wales,,Wrexham,Aberystwyth Town,2026-09-06 14:00,The Rock,4,0,https://faw.cymru/adran-leagues/adran-premier/fixtures-and-results/
The FA WNL Cup,Football,FAWNL Cup,England,,Abingdon United,Arsenal U21,2026-09-06 14:00,Abingdon Untied FC,0,7,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Bradford City,Halifax,2026-09-06 14:00,Cougar Park,0,3,https://wnl.thefa.com/fixtures
